STATION,year,month,PRCP_sum,TMAX_mean,TMIN_mean,TMEAN,ym
USW00024233,2022,1,7.0600000000000005,46.225806451612904,35.74193548387097,40.74193548387097,2022-01-01
USW00024233,2022,2,5.32,47.857142857142854,36.357142857142854,41.82142857142857,2022-02-01
USW00024233,2022,3,3.32,53.096774193548384,40.774193548387096,46.58064516129032,2022-03-01
USW00024233,2022,4,2.71,54.666666666666664,39.43333333333333,46.46666666666667,2022-04-01
USW00024233,2022,5,3.82,60.03225806451613,45.193548387096776,52.193548387096776,2022-05-01
USW00024233,2022,6,2.67,69.06666666666666,53.2,60.6,2022-06-01
USW00024233,2022,7,0.18,79.83870967741936,57.806451612903224,67.96774193548387,2022-07-01
USW00024233,2022,8,0.05,80.93548387096774,59.064516129032256,69.16129032258064,2022-08-01
USW00024233,2022,9,0.25,74.56666666666666,55.06666666666667,63.86666666666667,2022-09-01
USW00024233,2022,10,2.51,66.16129032258064,49.096774193548384,56.935483870967744,2022-10-01
USW00024233,2022,11,5.49,48.06666666666667,35.766666666666666,42.233333333333334,2022-11-01
USW00024233,2022,12,7.55,43.225806451612904,34.354838709677416,38.61290322580645,2022-12-01
USW00024233,2023,1,3.09,48.38709677419355,38.58064516129032,43.45161290322581,2023-01-01
USW00024233,2023,2,2.36,46.32142857142857,35.035714285714285,40.67857142857143,2023-02-01
USW00024233,2023,3,2.56,51.96774193548387,37.16129032258065,43.935483870967744,2023-03-01
USW00024233,2023,4,3.8600000000000003,55.333333333333336,41.666666666666664,47.86666666666667,2023-04-01
USW00024233,2023,5,0.9299999999999999,70.61290322580645,51.16129032258065,60.064516129032256,2023-05-01
USW00024233,2023,6,1.22,71.96666666666667,52.0,60.96666666666667,2023-06-01
USW00024233,2023,7,0.09,80.06451612903226,56.96774193548387,67.54838709677419,2023-07-01
USW00024233,2023,8,0.27,79.87096774193549,59.935483870967744,69.12903225806451,2023-08-01
USW00024233,2023,9,3.44,70.6,53.43333333333333,61.166666666666664,2023-09-01
USW00024233,2023,10,2.89,61.38709677419355,47.74193548387097,53.903225806451616,2023-10-01
USW00024233,2023,11,5.78,51.0,38.666666666666664,44.86666666666667,2023-11-01
USW00024233,2023,12,8.48,50.58064516129032,40.38709677419355,45.25806451612903,2023-12-01
USW00024233,2024,1,6.5200000000000005,46.45161290322581,36.67741935483871,41.32258064516129,2024-01-01
USW00024233,2024,2,3.84,49.55172413793103,39.06896551724138,44.275862068965516,2024-02-01
USW00024233,2024,3,2.36,54.064516129032256,40.225806451612904,46.225806451612904,2024-03-01
USW00024233,2024,4,0.49,59.25,42.89473684210526,49.9,2024-04-01
USW00024233,2024,5,1.54,64.03225806451613,47.16129032258065,54.83870967741935,2024-05-01
USW00024233,2024,6,1.19,69.8,52.2,60.233333333333334,2024-06-01
USW00024233,2024,7,0.16,81.41935483870968,58.193548387096776,69.35483870967742,2024-07-01
USW00024233,2024,8,1.66,75.6774193548387,57.29032258064516,65.3225806451613,2024-08-01
USW00024233,2024,9,0.62,70.46666666666667,54.666666666666664,61.86666666666667,2024-09-01
USW00024233,2024,10,3.04,60.58064516129032,47.38709677419355,53.54838709677419,2024-10-01
USW00024233,2024,11,4.86,50.63333333333333,41.43333333333333,45.86666666666667,2024-11-01
USW00024233,2024,12,5.49,49.61290322580645,38.774193548387096,43.70967741935484,2024-12-01
USW00093134,1996,6,0.0,80.08333333333333,62.208333333333336,71.14583333333333,1996-06-01
USW00093134,1996,7,0.0,85.06451612903226,65.06451612903226,75.06451612903226,1996-07-01
USW00093134,1996,8,0.0,87.51612903225806,66.87096774193549,77.19354838709677,1996-08-01
USW00093134,1996,9,0.0,82.23333333333333,64.83333333333333,73.53333333333333,1996-09-01
USW00093134,1996,10,1.06,75.7741935483871,58.12903225806452,66.95161290322581,1996-10-01
USW00093134,1996,11,1.5899999999999999,73.63333333333334,54.93333333333333,64.28333333333333,1996-11-01
USW00093134,1996,12,4.09,67.90322580645162,51.354838709677416,59.62903225806452,1996-12-01
USW00093134,1997,1,5.58,65.87096774193549,51.41935483870968,58.645161290322584,1997-01-01
USW00093134,1997,2,0.08,70.39285714285714,51.464285714285715,60.92857142857143,1997-02-01
USW00093134,1997,3,0.0,75.38709677419355,54.74193548387097,65.06451612903226,1997-03-01
USW00093134,1997,4,0.0,75.0,56.36666666666667,65.68333333333334,1997-04-01
USW00093134,1997,5,0.0,81.45161290322581,63.806451612903224,72.62903225806451,1997-05-01
USW00093134,1997,6,0.0,77.8,64.23333333333333,71.01666666666667,1997-06-01
USW00093134,1997,7,0.0,81.51612903225806,64.80645161290323,73.16129032258064,1997-07-01
USW00093134,1997,8,0.0,86.96774193548387,68.2258064516129,77.59677419354838,1997-08-01
USW00093134,1997,9,0.45,89.4,70.1,79.75,1997-09-01
USW00093134,1997,10,0.0,80.70967741935483,61.483870967741936,71.09677419354838,1997-10-01
USW00093134,1997,11,2.06,74.0,56.36666666666667,65.18333333333334,1997-11-01
USW00093134,1997,12,2.52,68.48387096774194,49.225806451612904,58.854838709677416,1997-12-01
USW00093134,1998,1,4.12,66.48387096774194,51.03225806451613,58.75806451612903,1998-01-01
USW00093134,1998,2,13.68,64.25,49.75,57.0,1998-02-01
USW00093134,1998,3,4.0600000000000005,70.16129032258064,53.645161290322584,61.903225806451616,1998-03-01
USW00093134,1998,4,0.9699999999999999,71.1,53.333333333333336,62.43333333333333,1998-04-01
USW00093134,1998,5,3.1,71.2258064516129,57.193548387096776,64.41935483870968,1998-05-01
